,tune,dataset
115,10117_da_boys_o_da_lounge,train
116,10118_mrs_malaprop,test
117,10119_ciel_dautomne,train
118,1011_around_the_world_for_sport,train
119,10120_the_bonawe_highlanders,train
120,10121_belle_aisle,train
121,10122_an_dro_pitaouer,train
122,10123_gan_ainm,test
123,10124_the_hole_in_the_kettle,train
124,10125_beggar_thomas_pomerleaus_march,train
125,10127_miss_e,train
126,10128_rasus_cas-went,train
127,10129_crooked_still,train
128,1012_the_moving_bog,train
129,10130_reel_du_gin,train
130,10131_tim_fitzpatricks,train
131,10132_shadow_mountain,train
132,10133_tarmons,train
133,10135_norwich,test
134,10136_reel_de_mme_renault,train
135,10137_i_dreamt_i_dwelt_in_marble_halls,test
136,10138_steering_by_aldebaran,test
137,1013_jimmy_battys,validation
138,10142_saint_stephens,train
139,10143_nell_sullivans,test
140,10144_the_drakes_lad,train
141,10146_the_blackberry_bush,train
142,10147_peter_street,train
143,10148_valse_des_jouets,test
144,10149_when_cloe,train
145,1014_barrack_hill,test
146,10150_bring_her_to_the_shelter,train
147,10151_kemps,train
148,10152_cwrw_da,test
149,10153_le_duleton,train
150,10154_the_dernawilt,test
151,10155_gan_ainm,train
152,10156_glaspolska,train
153,10157_dianes_happiness,test
154,10159_stella_splendens,train
155,1015_the_green_gowned_lass,test
156,10160_the_wily_old_bachelor,train
157,10161_bah_hamburg_ii,train
158,10162_supermarkets,validation
159,10163_violet_hill,train
160,10164_the_living_bridge,train
161,10165_the_blue_keys,test
162,10166_the_real_mccoy,train
163,10168_the_elusive_magpie,validation
164,1016_josefins,train
165,10170_kevin_crawfords,train
166,10172_p_stands_for_paddy_i_suppose,train
167,10173_the_project,train
168,10174_the_canongate_twitch,train
169,10175_boo_babys_lullaby,train
170,10176_the_blackberry_blossom,test
171,10177_fare_well,train
172,10179_cranfords_five_day_wedding,train
173,1017_dermot_grogans,train
174,10180_the_farting_badger,train
175,10181_bristol,validation
176,10182_pibddawns_y_blodau,test
177,10183_bye_a_while,train
178,10184_clarksons,train
179,10185_the_fiddler,test
180,10186_paddy_whacks,train
181,10189_kalabakan,train
182,1018_miss_susan_cooper,validation
183,10190_ziri_piri,test
184,10191_the_breakish_storm_sheep,train
185,10193_goldies,train
186,10194_barham_down,train
187,10195_sheldon_macneils,train
188,10196_paul_ryans_dream,train
189,10198_the_western,train
190,10199_the_lasher,train
191,101_smash_the_windows,train
192,10200_blackjack_grove,train
193,10201_georgias_gift,train
194,10202_mullheres,train
195,10203_over_the_bridge_to_peggy,train
196,10204_turbo_shandy,test
197,10205_kitty_maginnis,train
198,10206_cornelius,train
199,10207_hodgepig,train
200,10208_bwced,train
201,10209_brother_darel_starkeys,train
202,1020_palmers_gate,test
203,10211_paddy_on_the_landfill,train
204,10214_beatons_blue_bonnet,train
205,10215_queen_of_the_fairies,train
206,10216_the_fruity_nutcake,train
207,10217_eddie_moloneys,test
208,10218_the_little_man_with_the_brown_shoes,train
209,10219_jewel_of_a_hundred_years,train
210,1021_farrel_ogaras_schottise,validation
211,10220_cullen_bay,validation
212,10221_hip_hop_berceuse,validation
213,10222_the_vatersay_ambulance,train
214,10223_the_swan_lk243,validation
215,10224_st-etienne,validation
216,10225_co-dhuibh_bhithinn_togarrach,train
217,10226_reel_st_paul,test
218,10227_titting_the_scales,train
219,10228_the_star_of_kilkenny,train
220,1022_did_you_wash_your_fathers_shirt,train
221,10230_the_piper_in_the_cave,train
222,10231_an_alarch,train
223,10233_taking_the_tent_down,test
224,10235_mind_the_nettles,validation
225,10236_the_amber,train
226,10237_cuilcagh,train
227,10238_maramarosi_tanc,train
228,10239_children_of_the_little_dancing_bush,validation
229,1023_the_humours_of_whiskey,train
230,10240_olahos,validation
231,10242_the_estuary_of_the_shannon,train
232,10243_the_baddeck_gathering,train
233,10245_the_wrecking,train
234,10246_mrs_mcrory,train
235,10247_malcolm_the_tailor,train
236,10248_mrs_macpherson_of_inveran,train
237,10249_levi_beaulieu,train
238,1024_the_rising_sun,train
239,10252_the_hand_organ,train
240,10253_the_pi,train
241,10254_bill_omalleys,train
242,10255_castlerock_road,train
243,10256_heartbreak_hill,validation
244,10257_emilys_gigue,train
245,10259_my_friend_buddy,train
246,1025_sweeneys_wheel,test
247,10260_time_for_a_rest,train
248,10261_the_new_phone,train
249,10262_first_and_last,test
250,10263_the_sparkling_sea,test
251,10266_the_sally_rod,train
252,10267_kirkgate,train
253,10268_the_white_houses_of_shieldaig,train
254,10269_shane_oneills_march,validation
255,1026_the_trip_to_herves,train
256,10270_the_lonely_fireside,train
257,10271_mrs,train
258,10272_gan_ainm,train
259,10273_culburnie_cottage,train
260,10274_cwrw_da,validation
261,10275_the_devils_delight,train
262,10276_glen_massan,train
263,10279_y_cambro-brython,train
264,1027_the_wild_irishman,train
265,10280_give_us_some_treacle_and_bread,train
266,10284_sally_sloanes,train
267,10285_the_man_from_glengarry,train
268,10286_woods,validation
269,10287_red_skies,train
270,10289_one_more_for_the_road,test
271,1028_the_killarney_wonder_schottise,train
272,10290_the_hope,train
273,10291_the_wingflapper,train
274,10293_little_jimmy_mckiernans,train
275,10294_the_thistle_schottische,test
276,10295_jimmy_mcbrides,train
277,10296_the_rocks_of_cashel,train
278,10297_brian_byrnes,test
279,10298_the_brig_o_perth,train
280,1029_an_seanduine_dite,train
281,102_colonel_mcbain,test
282,10300_give_us_an_a,train
283,10301_for_the_love_of_music,train
284,10302_wine_shower,test
285,10303_absynthe_makes_the_heart_grow_fonder,validation
286,10304_beatrice_hills_three_handed,test
287,10306_the_willow_tree,test
288,10308_the_sussex_waltz,train
289,10309_ijswals,test
290,1030_comb_your_hair_and_curl_it,train
291,10310_kempshott_hunt,train
292,10311_the_fochabers_rant,train
293,10313_dulaman_na_binne_bui,train
294,10314_lord_leitrim,train
295,10315_the_devil_among_the_tailors,train
296,10316_ocarolans_fancy,train
297,10317_doodlers,train
298,10318_turnpike_side,validation
299,10319_easter_snow,validation
300,1031_peters_peerie_boat,train
301,10320_the_earl_of_thomond,train
302,10321_miss_michelle_grehans_farewell_to_her_degree,train
303,10322_ta_cashen_ersooyl_dys_yn_aarkey,test
304,10323_the_old_red_petticoat,test
305,10325_helen_black_of_inveran,test
306,10326_the_fly_in_the_marmalade,train
307,10327_lady_charlotte_campbells,train
308,10328_neil_gows_highland,train
309,10329_the_amaryllis_schottische,validation
310,1032_the_little_heathy_hill,test
311,10331_the_messenger,train
312,10332_innocent_hare,train
313,10333_blue_eyed_stranger,validation
314,10334_the_mouldy_pineapple,train
315,10335_da_south_end,train
316,10336_the_fall_of_dunboy,validation
317,10337_prata_paxaro,validation
318,10338_emergency_pants,train
319,10339_master_masons,train
320,1033_the_gale,train
321,10340_sock_in_the_hole,train
322,10341_mairtin_oconnors,train
323,10342_the_raivlin,train
324,10343_hole_in_the_sock,train
325,10344_the_wayside_waggon,train
326,10345_the_egg_and_the_fiddle,train
327,10346_the_red_and_the_gold,train
328,10347_the_marquis_of_huntly,validation
329,10348_sting_in_the_tale,train
330,10349_shetland_pony,test
331,1034_the_flavor_of_the_month,train
332,10350_a_smile_from_sile,test
333,10351_salton_de_san_martin,train
334,10352_songdogs,train
335,10353_bridgetts,train
336,10354_the_velvet,train
337,10355_lady_walpoles,train
338,10356_athols_father,train
339,10358_gan_ainm,test
340,10359_maggie,train
341,1035_the_boys_of_the_town,train
342,10360_pontivy,validation
343,10361_a_tailor_i_am,train
344,10362_the_stolen_kiss,test
345,10363_the_bearded_fiddler,train
346,10364_lunchtime_boredom,train
347,10365_reel_carmen,train
348,10366_the_sligo,train
349,10367_middlejig,train
350,10368_kristans,validation
351,10369_john_cliffords,train
352,1036_the_swan,train
353,10370_the_secret_garden,train
354,10371_keep_the_old_ark_rolling,train
355,10372_the_kilcummin_lass,validation
356,10373_the_road_north,train
357,10374_karens_critters,test
358,10375_la_ronde_des_milloraines,train
359,10377_the_auld_hoose,train
360,10378_flight_of_the_curlew,train
361,10379_boston_life,train
362,1037_the_shepherds_wife,train
363,10380_johnnys_welcome_home,test
364,10381_hunters_hill,train
365,10382_the_cuttlefish,train
366,10383_the_acharavi,train
367,10384_saoil_a_mhr_am_ps_thu,test
368,10386_caseys_favourite,validation
369,10387_when_mud_gets_in_your_eyes,train
370,10388_caseys_favourite,validation
371,1038_the_independence,train
372,10390_twenty-one_highland,validation
373,10391_caseys_favourite,validation
374,10393_griffenfeld,train
375,10394_orreaga,train
376,10395_just_another_fling,validation
377,10396_leinster_buttermilk,test
378,10398_maggies_mushy_peas,train
379,10399_jean_ireland,train
380,1039_ar_irinn_n_neosfainn_c_h,train
381,103_saint_annes,train
382,10401_lady_margaret_stewart,train
383,10402_michael_ward,train
384,10403_the_smith_of_chilliechassie,validation
385,10404_jokijenkka,validation
386,10405_salton,train
387,10406_the_fiddle_hill,train
388,10407_chris_stout,train
389,10409_blacksmith_courted_me,train
390,1040_sheila_coyles,train
391,10410_mittons_breakdown,validation
392,10411_banais_mairead,train
393,10412_missing_time,train
394,10413_the_irish_girl,train
395,10414_the_futterat_with_the_grey_tail,train
396,10415_battle_with_the_dust_bunny_king,train
397,10416_muneira_de_barganaz,train
398,10417_glenglass,train
399,10418_de_vleegerd,train
400,10419_atlantic_drive,train
401,10420_the_sailor_and_the_maid,train
402,10421_el_paso,train
403,10422_bushmills_fancy,train
404,10423_codladh_samh,train
405,10424_the_harpers_chair,train
406,10425_inverness_county,train
407,10426_paddy_sean_nancys,validation
408,10427_ciaras_dance,train
409,10428_rolling_down_the_hills,train
410,10429_coras_tune,train
411,1042_the_macroom_lasses,validation
412,10430_annam_cara,test
413,10431_the_battle_of_falkirk_muirs,test
414,10432_the_men_of_the_west,train
415,10433_the_countrymans,train
416,10434_the_mouth_organ,validation
417,10435_brendan_sheehans,train
418,10436_firefly,train
419,10437_caminante,train
420,10438_stuck_in_a_rut,validation
421,10439_ships_in_the_night,validation
422,1043_the_humours_of_kiltyclogher,train
423,10440_snow_shoers,validation
424,10442_the_banks_of_forth,train
425,10443_caerdroin,train
426,10444_heilan_donald_kissed_kitty,train
427,10445_difyrrwch_gwyr_dyfi,train
428,10446_the_zakynthos,train
429,10447_thugamar_fein_an_samhradh_linn,validation
430,1044_seamus_obriens,train
431,10450_cape_breton_dream,train
432,10452_the_glorious_13th,train
433,10455_jan_mijne_man,train
434,10456_edwins,train
435,10457_james_kellys,test
436,10458_go_mauve,train
437,10459_finnegans,train
438,1045_the_chattering_magpie,validation
439,10460_red_kites,train
440,10461_willy_atkinsons_schottische,train
441,10462_the_yorkshire,test
442,10463_morna,test
443,10464_flat_cap,train
444,10466_heart_shaped_wood,validation
445,10468_the_fjallnas_hambo,test
446,10469_two_for_joy,train
447,10470_corrievreckan,train
448,10471_stomach_steinway_man,train
449,10472_the_dreaming_sea,train
450,10473_musette,train
451,10474_whitfield_brow,validation
452,10475_attingham,train
453,10476_supernose,train
454,10477_the_shetland_museum,train
455,1047_rond_de_loudac,test
456,10480_tavanagh,train
457,10481_i_will_go_home_to_kintail,train
458,10482_cheshire_round,test
459,10483_the_boston-sligo,train
460,10486_the_charms_of_whisky,train
461,10487_three_deer_and_a_hare,train
462,10488_an_pangur_bn,test
463,10489_till_jamie_comes_hame,train
464,1048_the_cape_breton_fiddlers_societys_welcome_to_the_shetland_islands,test
465,10490_the_sweeps,train
466,10491_the_trippers,train
467,10492_murdo_took_the_stoup,test
468,10493_the_duharra,train
469,10494_ely_parker,train
470,10495_wooden_whale,train
471,10496_patsy_hanleys,train
472,10498_wearmouth_lasses,train
473,10499_marcha_de_lanton_el_nenu,test
474,1049_the_pipe_on_the_hob,train
475,104_the_snowy_path,train
476,10500_the_humours_of_max,test
477,10501_the_shropshire_rounds,test
478,10502_spirit_of_the_dance,train
479,10503_seamus_mor_mckennas,train
480,10504_bridges_and_hills,train
481,10505_north_amerikay,train
482,10506_sheep_on_the_moor,test
483,10507_bill_hoares,train
484,10508_over_to_uist,train
485,10509_detroit,validation
486,1050_the_maple_leaf,train
487,10510_christinas,test
488,10511_the_kitchen_criminal,train
489,10512_la_grande_bete,train
490,10513_reeker_greeker,train
491,10514_young_brown_cow,train
492,10515_thady_regan,train
493,10516_the_gathering,train
494,10517_miss_martins_wedding,train
495,10518_sergeant_earlys,train
496,10519_scottiche_a_deux,train
497,1051_do_you_want_any_more,train
498,10520_linda_rays,validation
499,10521_do_you_love_an_apple,train
500,10523_the_elven_cloak,validation
501,10524_gan_ainm,test
502,10525_two_to_the_bar,train
503,10526_porter_for_three,validation
504,10527_the_stonewaller,test
505,10528_the_hopeful,train
506,10529_stereocanto,train
507,1052_cooleys,test
508,10530_cowhalling,train
509,10531_the_cliff_dwellers,train
510,10532_jearoid,train
511,10533_gan_ainm,train
512,10534_pop_goes_the_weasel,train
513,10535_pad_jo_mcsweeneys,test
514,10536_la_femme_du_petrolier,train
515,10537_miss_falconer,validation
516,10538_alyth_tattie_pickers,train
517,10539_water_under_the_bridge,train
518,1053_kitty_mcgee,validation
519,10540_the_american,train
520,10541_kwallen,train
521,10542_the_longest_day,test
522,10543_2d_or_not_2d,train
523,10544_tigers_first_bird,train
524,10545_the_tennessee,test
525,10546_bridgetts,train
526,10547_the_longest_day,train
527,10548_willie_oconnells,train
528,10549_paddy_fitzgeralds,train
529,1054_the_gooch,test
530,10550_gaffos_ball,train
531,10551_lady_in_the_lodge,test
532,10552_alborada_antiga_de_ourense,train
533,10553_thank_god_its_friar_dee,train
534,10554_charlie,train
535,10555_trent_waters,train
536,10556_the_rising_of_the_lark,train
537,10557_curupira,train
538,10558_porridge_in_the_morning,train
539,10559_buttered_pease,train
540,1055_carolans_welcome,test
541,10560_thomas_reilly_clerk_of_fore,test
542,10561_gilderoy,test
543,10562_the_jura_wedding,test
544,10563_the_merry_gardener,train
545,10564_cabri,test
546,10565_high_clouds,train
547,10566_gan_ainm,train
548,10567_sussex_cotillion,train
549,10568_tim_olearys,train
550,10569_the_weeping_cloud,validation
551,1056_lady_lane,test
552,10570_mrs,train
553,10571_marthas,train
554,10572_in_dulci_jubilo,train
555,10573_mouvement_de_gigue,test
556,10574_yankee_doodle,train
557,10575_dunkeld_house,train
558,10576_a_perfect_day,train
559,10577_louis,validation
560,10578_leona_beaton,train
561,10579_miss_forbes_farewell_to_banff,train
562,1057_the_red_bee,train
563,10580_scordatura,test
564,10581_scotland_is_my_ain_hame,train
565,10582_the_quaker,train
566,10583_allery_burn,train
567,10584_dennis_watsons,train
568,10585_katie_mcgoohans,train
569,10587_the_rubber_band,train
570,10588_jamesy_gannons,validation
571,10589_old_molly_oxford,test
572,1058_the_poppy_leaf,train
573,10590_didnt_make_it,train
574,10592_the_humours_of_schull,train
575,10593_bonaparts_expedition,train
576,10594_slide_dubh,train
577,10595_gan_ainm,train
578,10596_marche_des_cabrettaires,test
579,10597_lonesome_john,train
580,10598_an_tunnag,validation
581,10599_eileen_ni_riordains,train
582,1059_the_galtee,validation
583,105_the_swallows_tail,validation
584,10600_art_okeeffes,train
585,10601_quinn_of_armagh,train
586,10602_mimi_and_the_new_generation,train
587,10604_abbys,validation
588,10605_the_porch,train
589,10607_dancing_alice,train
590,10608_jacques_cartier,train
591,10609_double_espresso,train
592,1060_the_malbay_shuffle,train
593,10611_teddy_oneills,train
594,10612_michael_blacks,validation
595,10613_the_orange_tree,train
596,10614_rough_as_a_badgers,train
597,10615_the_bare_assed,train
598,10616_damiens_toastie,train
599,10619_the_geevagh,train
600,1061_bantry_bay,test
601,10620_bonaparte_crossing_the_rhine,train
602,10621_skibbereen,train
603,10622_nicos_mermaid,validation
604,10624_the_statistician,train
605,10628_standchen_serenade,train
606,10629_steve_and_marians,validation
607,1062_martin_rochfords,train
608,10630_my_hearts_full_of_cheer_cause_my_bellys_full_of_porter,train
609,10631_gan_ainm,test
610,10633_inspector_donald_campbell_of_ness,train
611,10634_the_purple_sunrise,train
612,10636_bannocks_of_bere_meal,train
613,10637_munster_heart,train
614,10638_driftwood_by_the_sea,train
615,10639_johnny_lad,train
616,1063_the_bow-legged_tailor,train
617,10640_hommage__gilles_laprise,validation
618,10641_the_crying_daughter,train
619,10642_the_oak_stick,test
620,10643_rosie_claytons,train
621,10644_tree_gap,train
622,10645_down_to_carlow,validation
623,10646_the_green_pantaloons,train
624,10647_the_new_brig_oayr,test
625,10648_the_rubber_man,test
626,10649_ar_lan_y_mor,train
627,1064_the_whinny_hills_of_leitrim,train
628,10650_the_groves_of_blackpool,train
629,10652_bald_goose,train
630,10653_the_bearna,train
631,10655_wild_mountain_thyme,train
632,10656_below_the_archway,train
633,10657_a_rainy_day,train
634,10658_madonna_groove,validation
635,10659_up_the_walls_of_the_world,validation
636,1065_the_broken_lantern,test
637,10660_ar_lan_y_mor,train
638,10661_lovely_nancy,train
639,10662_john_egans,train
640,10663_gir_na_ngealt,train
641,10664_maggie_mcgees_schottische,train
642,10666_a_sireadh_spors,test
643,10667_a_new_strathspey_reel,train
644,10668_flatwater_fran,train
645,10669_da_wattle_ot,train
646,1066_the_kilfenora_lass,train
647,10672_come_on_wee_man,train
648,10673_the_creche,validation
649,10674_the_gesto,test
650,10675_bessie_millies_sixpence,train
651,10676_phil_alexanders,train
652,10678_taybank_shenanigans,validation
653,1067_farewell_to_london,test
654,10680_memories_of_winston,train
655,10681_butchers_row,train
656,10682_clueless,train
657,10683_broadaxe_breakdown,train
658,10684_cavehill,train
659,10688_the_pipers_of_bamburgh,test
660,10689_archie_menzies,train
661,1068_ill_mend_your_pots_and_kettles_-_o,train
662,10690_maggie_mae,validation
663,10691_causewayhead,train
664,10692_carolines_favourite,train
665,10693_connemara_skies,test
666,10694_the_mactaquac,train
667,10695_stan_rogers,test
668,10696_jionetto_loula,train
669,10697_make_n_break_hornpipe,train
670,10699_wheres_me_glasses,test
671,1069_lillibullero,train
672,106_the_swallowtail,train
673,10700_shortys,test
674,10701_baltimore_beginners,train
675,10702_the_cat_in_the_garden,train
676,10703_gnglt_frn_mockfjrd,validation
677,10704_gwerz_ar_vezhinerien,train
678,10705_apple,train
679,10707_the_hens_march,test
680,10708_yeah_little_bird_sing_to_me,train
681,10709_the_black_pig,train
682,1070_the_monaghan_twig,train
683,10710_a_shepherds_dream,train
684,10711_the_first_rule_of_box_club,train
685,10712_dannsa_mhairi,train
686,10713_stevie_and_elsas_leaving,train
687,10714_the_krugers,validation
688,10715_dinners_dangerous_river_jacket,train
689,10716_the_rangers,train
690,10717_miss_campbells_awkward_adolescant_advances,train
691,10718_the_oliver_curve,train
692,10719_the_six-leafed_clover,train
693,10720_malcolm_johnston,train
694,10721_mixing_the_punch,test
695,10722_allens_bar,train
696,10723_its_on,train
697,10724_the_robin_on_the_gate,test
698,10725_kepplehall,train
699,10726_marys_spinning_wheel,validation
700,10727_the_dirty_trettles,train
701,10728_the_south_west,train
702,10729_oneills_castle,train
703,1072_the_tempest,train
704,10730_en_avant_blonde,train
705,10731_if_you_go_first,train
706,10732_captain_lachlan_macphail_of_tiree,test
707,10733_mrs,train
708,10734_the_youngest_ancient_mariner,train
709,10735_wackidoo,train
710,10736_wheres_the_wife,train
711,10737_lucys,validation
712,10738_ajs,train
713,10739_the_rocky_path,train
714,1073_muriels,test
715,10740_kilmahog_sunday_afternoon,test
716,10741_lep_the_table,train
717,10742_rorie_lynn,train
718,10744_christinas_dream,train
719,10745_the_loon_and_his_quine,train
720,10747_mothers,test
721,10748_battle_of_mulroy,train
722,10749_ladies_in_the_center,validation
723,1074_the_trip_to_windsor,train
724,10750_loch_mullardoch,validation
725,10751_maenpaan_heikin_valssi,test
726,10752_yetts_o_muckhart,train
727,10753_the_squaw_rapid,test
728,10754_dinner_time,train
729,10756_tommy_maguires,train
730,10758_yarmouth_breakdown,train
731,1075_the_britches_full_of_stitches,train
732,10760_paddy_connellys_stack_of_barley,train
733,10761_the_travelling_flute,train
734,10762_time_at_the_old_house,train
735,10763_the_dregs_of_birch,test
736,10764_polka_de_gustave_ythier,train
737,10765_dicks_pig,train
738,10766_the_lost_ring,train
739,10767_the_humours_of_newcastle,test
740,10769_the_apsley_cottage,test
741,1076_the_black_rogue,train
742,10770_hop-tu-naa,validation
743,10771_the_big_man,train
744,10772_midnight_fairies,train
745,10773_my_old_clay_pipe,train
746,10775_the_orthodox_priest,train
747,10776_fire_away_you_devil_you,test
748,10777_tommys_foot,validation
749,10779_the_braes_of_locheil,train
750,1077_munster_buttermilk,train
751,10780_john_naughtons,train
752,10781_squirrels,validation
753,10782_roses_for_elizabeth,train
754,10783_north_cregg,test
755,10784_the_knocknagoshel,train
756,10785_the_soup_dragon,train
757,10786_joao_de_deus,validation
758,10787_gan_ainm,train
759,10789_let_erin_remember,validation
760,1078_the_four_poster_bed,train
761,10790_cronins,train
762,10791_portree_bay,train
763,10792_chase_the_squirrel,validation
764,10793_sandy_skinner,train
765,10794_levenshulme_leap,train
766,10795_gan_ainm,train
767,10796_gan_ainm,train
768,10797_mozart_on_the_rampage,train
769,10798_gus_jordans,train
770,10799_dancing_of_fingers,train
771,1079_pierres_right_arm,train
772,107_the_atholl_highlanders,train
773,10800_nancy_harlings,train
774,10801_the_temple_in_the_glen,train
775,10802_cockle_geordie,validation
776,10804_take_your_churn,train
777,10805_fionas,validation
778,10806_braes_of_maas,train
779,10808_icy,train
780,10809_gan_ainm,train
781,1080_father_oflynn,train
782,10810_jacksons_mare,validation
783,10811_one_to_one,train
784,10812_pigs_will,validation
785,10813_the_captain_and_his_whiskers,train
786,10814_bams_dogs_english,train
787,10815_d._d,train
788,10816_unas_new_gown,validation
789,10817_the_ways_of_the_world,validation
790,10818_the_golden_fish,train
791,1081_saint_lawrence,train
792,10820_foul_weather_call,train
793,10821_the_kanturk,test
794,10822_autumn_leaves,validation
795,10823_autumn_leaves,train
796,10824_the_lad_from_mt,train
797,10826_jacksons_faggots,train
798,10827_the_gallowa_hills,validation
799,10828_the_corsican_fairy,train
800,1082_crabs_in_the_skillet,train
801,10830_the_cuckoo_fleadh,train
802,10831_lights_of_ranzanico,validation
803,10832_nobody_cares_for_me,test
804,10833_the_abbey_tavern,train
805,10834_the_market_girl,train
806,10837_the_strawberry_tree,train
807,10838_planxty_maguire,train
808,10839_the_goats_butter,train
809,1083_petronella,test
810,10840_baily_view,train
811,10841_fairly_shot_of_her,validation
812,10842_eilish_brogan,train
813,10843_gan_ainm,train
814,10845_eroticon_vi,train
815,10848_la_tramontana,train
816,10849_the_banks_of_the_brosna,train
817,1084_hullichan,test
818,10850_kielder_schottische,test
819,10851_cruibins_for_breakfast,validation
820,10852_sheilas,train
821,10853_under_the_influence,train
822,10854_our_trip_to_toronto,train
823,10855_kilcummin,test
824,10856_flight_of_the_thestrals,train
825,10857_lament_for_oliver_goldsmith,train
826,10858_sally_anns,train
827,10859_jacksons,train
828,1085_tommy_bhettys,train
829,10860_the_cobblers,train
830,10861_sally_anns_a_gal_i_like,train
831,10862_johnnys,validation
832,10863_wild_and_free,test
833,10864_poitin_still,validation
834,10865_the_green_cockade,train
835,10866_the_greenhorn,validation
836,10867_he_prefers_bracken,train
837,10868_hareshaw_burn,train
838,10869_the_jolly_ploughboy,train
839,1086_hughie_shortys,train
840,10870_harvest_ricks,train
841,10871_jacksons_gamble,train
842,10872_eira,test
843,10873_eyebrows,train
844,10874_lady_of_the_lake,test
845,10876_a_birthday,train
846,10877_peninsula_man,train
847,10878_sophies_dancing_feet,train
848,10879_maurice_okeeffes,train
849,1087_patsy_touheys,train
850,10880_ask_my_father,train
851,10881_slide_from_grace,test
852,10882_the_scellig_rocks,test
853,10883_billy_boy,train
854,10884_irish_coffee,train
855,10885_jacksons_twins,test
856,10886_sunday_afternoon,train
857,10887_john_cartys,train
858,10888_whirl-y-reel_1,train
859,10889_dawns_mandolin,train
860,1088_dancing_the_baby,test
861,10890_fires_at_midnight,train
862,10891_burst_pipes,validation
863,10892_round_the_house,train
864,10893_this_gloom_on_my_soul,train
865,10894_floating_candles,train
866,10895_the_gaelic_revival,test
867,10896_the_humours_of_strand_road,test
868,10897_tha_fionnlagh_ag_innearach,train
869,10898_the_pleasant_beggar,train
870,1089_jizaique,train
